id,title,author,publisher,count,total_views,amazon_url
8820e2fd06fa,新版 人は、なぜ他人を許せないのか？,中野信子,アスコム,3,168411,https://www.amazon.co.jp/s?k=%E6%96%B0%E7%89%88%20%E4%BA%BA%E3%81%AF%E3%80%81%E3%81%AA%E3%81%9C%E4%BB%96%E4%BA%BA%E3%82%92%E8%A8%B1%E3%81%9B%E3%81%AA%E3%81%84%E3%81%AE%E3%81%8B%EF%BC%9F&i=stripbooks&tag=business-book-ranking02-22
4cfa9e7c6e3e,キーエンス流 性弱説経営,高杉康成,,3,207035,https://www.amazon.co.jp/s?k=%E3%82%AD%E3%83%BC%E3%82%A8%E3%83%B3%E3%82%B9%E6%B5%81%20%E6%80%A7%E5%BC%B1%E8%AA%AC%E7%B5%8C%E5%96%B6&i=stripbooks&tag=business-book-ranking02-22
7db6ab737f68,歩く　マジで人生が変わる習慣 池田光史,,,3,1469945,https://www.amazon.co.jp/s?k=%E6%AD%A9%E3%81%8F%E3%80%80%E3%83%9E%E3%82%B8%E3%81%A7%E4%BA%BA%E7%94%9F%E3%81%8C%E5%A4%89%E3%82%8F%E3%82%8B%E7%BF%92%E6%85%A3%20%E6%B1%A0%E7%94%B0%E5%85%89%E5%8F%B2&i=stripbooks&tag=business-book-ranking02-22
83d91fd3c5e8,なぜ働いていると本が読めなくなるのか,三宅香帆,,3,644566,https://www.amazon.co.jp/s?k=%E3%81%AA%E3%81%9C%E5%83%8D%E3%81%84%E3%81%A6%E3%81%84%E3%82%8B%E3%81%A8%E6%9C%AC%E3%81%8C%E8%AA%AD%E3%82%81%E3%81%AA%E3%81%8F%E3%81%AA%E3%82%8B%E3%81%AE%E3%81%8B&i=stripbooks&tag=business-book-ranking02-22
5278556f0e81,「繊細さん」の4つの才能 世界最先端のHSP研究家が教える繊細さを強みに変えるヒント,コートニー・マルケサーニ,SBクリエイティブ,3,367253,https://www.amazon.co.jp/s?k=%E3%80%8C%E7%B9%8A%E7%B4%B0%E3%81%95%E3%82%93%E3%80%8D%E3%81%AE4%E3%81%A4%E3%81%AE%E6%89%8D%E8%83%BD%20%E4%B8%96%E7%95%8C%E6%9C%80%E5%85%88%E7%AB%AF%E3%81%AEHSP%E7%A0%94%E7%A9%B6%E5%AE%B6%E3%81%8C%E6%95%99%E3%81%88%E3%82%8B%E7%B9%8A%E7%B4%B0%E3%81%95%E3%82%92%E5%BC%B7%E3%81%BF%E3%81%AB%E5%A4%89%E3%81%88%E3%82%8B%E3%83%92%E3%83%B3%E3%83%88&i=stripbooks&tag=business-book-ranking02-22
45eff7db03d5,頭がいい人の脳の使い方―――記憶力を高める８つのメソッド,小田全宏,あさ出版,3,717815,https://www.amazon.co.jp/s?k=%E9%A0%AD%E3%81%8C%E3%81%84%E3%81%84%E4%BA%BA%E3%81%AE%E8%84%B3%E3%81%AE%E4%BD%BF%E3%81%84%E6%96%B9%E2%80%95%E2%80%95%E2%80%95%E8%A8%98%E6%86%B6%E5%8A%9B%E3%82%92%E9%AB%98%E3%82%81%E3%82%8B%EF%BC%98%E3%81%A4%E3%81%AE%E3%83%A1%E3%82%BD%E3%83%83%E3%83%89&i=stripbooks&tag=business-book-ranking02-22
1bff770a4318,真の「安定」を手に入れる シン・サラリーマン――名著300冊から導き出した人生100年時代の攻略法,サラタメ,ダイヤモンド社,3,297446,https://www.amazon.co.jp/s?k=%E7%9C%9F%E3%81%AE%E3%80%8C%E5%AE%89%E5%AE%9A%E3%80%8D%E3%82%92%E6%89%8B%E3%81%AB%E5%85%A5%E3%82%8C%E3%82%8B%20%E3%82%B7%E3%83%B3%E3%83%BB%E3%82%B5%E3%83%A9%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%B3%E2%80%95%E2%80%95%E5%90%8D%E8%91%97300%E5%86%8A%E3%81%8B%E3%82%89%E5%B0%8E%E3%81%8D%E5%87%BA%E3%81%97%E3%81%9F%E4%BA%BA%E7%94%9F100%E5%B9%B4%E6%99%82%E4%BB%A3%E3%81%AE%E6%94%BB%E7%95%A5%E6%B3%95&i=stripbooks&tag=business-book-ranking02-22
281d09f09b49,スタンフォードのストレスを力に変える教科書,ケリー・マクゴニガル,,3,200950,https://www.amazon.co.jp/s?k=%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%95%E3%82%A9%E3%83%BC%E3%83%89%E3%81%AE%E3%82%B9%E3%83%88%E3%83%AC%E3%82%B9%E3%82%92%E5%8A%9B%E3%81%AB%E5%A4%89%E3%81%88%E3%82%8B%E6%95%99%E7%A7%91%E6%9B%B8&i=stripbooks&tag=business-book-ranking02-22
185127356c51,「男の色気」のつくり方――― 「その一言」「そのしぐさ」が、“違い”をつくる。,潮凪洋介,アスコム,3,1509959,https://www.amazon.co.jp/s?k=%E3%80%8C%E7%94%B7%E3%81%AE%E8%89%B2%E6%B0%97%E3%80%8D%E3%81%AE%E3%81%A4%E3%81%8F%E3%82%8A%E6%96%B9%E2%80%95%E2%80%95%E2%80%95%20%E3%80%8C%E3%81%9D%E3%81%AE%E4%B8%80%E8%A8%80%E3%80%8D%E3%80%8C%E3%81%9D%E3%81%AE%E3%81%97%E3%81%90%E3%81%95%E3%80%8D%E3%81%8C%E3%80%81%E2%80%9C%E9%81%95%E3%81%84%E2%80%9D%E3%82%92%E3%81%A4%E3%81%8F%E3%82%8B%E3%80%82&i=stripbooks&tag=business-book-ranking02-22
a1a6299b3885,ひろゆきのシン・未来予測②,ひろゆき（西村博之）,マガジンハウス,3,463504,https://www.amazon.co.jp/s?k=%E3%81%B2%E3%82%8D%E3%82%86%E3%81%8D%E3%81%AE%E3%82%B7%E3%83%B3%E3%83%BB%E6%9C%AA%E6%9D%A5%E4%BA%88%E6%B8%AC%E2%91%A1&i=stripbooks&tag=business-book-ranking02-22
